"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20652","@Web Screenshot & Visual comparison","SafariBrowser","2026-01-02","passed","2026-01-02","","MoreValidations.spec.js","",""
"","24459","@Web Client App Login ADIDAS ORIGINAL","ChromeBrowser","2026-01-02","passed","2026-01-02","","ClientAppPO.spec.js","",""
"","10212","@Web Client App Login","FireFoxBrowser","2026-01-02","passed","2026-01-02","","ClientAppPO.spec.js","",""
"","40760","@Web Client App Login ZARA COAT 3","FireFoxBrowser","2026-01-02","broken","2026-01-02","","ClientAppPO.spec.js","",""
"","8400","@Web Client App Login ZARA COAT 3","ChromeBrowser","2026-01-02","passed","2026-01-02","","ClientAppPO.spec.js","",""
"","10377","@Web Client App Login ZARA COAT 3","SafariBrowser","2026-01-02","passed","2026-01-02","","ClientAppPO.spec.js","",""
"","24441","@Web Screenshot & Visual comparison","ChromeBrowser","2026-01-02","passed","2026-01-02","","MoreValidations.spec.js","",""
"","20966","@Web Screenshot & Visual comparison","FireFoxBrowser","2026-01-02","passed","2026-01-02","","MoreValidations.spec.js","",""
"","10375","@Web Client App Login ADIDAS ORIGINAL","SafariBrowser","2026-01-02","failed","2026-01-02","","ClientAppPO.spec.js","",""
"","7364","@Web Client App Login","ChromeBrowser","2026-01-02","passed","2026-01-02","","ClientAppPO.spec.js","",""
"","27415","@Web Client App Login ADIDAS ORIGINAL","FireFoxBrowser","2026-01-02","passed","2026-01-02","","ClientAppPO.spec.js","",""
"","1641","@API Test case 2","","2026-01-21","passed","2026-01-21","","WebAPIpart2.spec.js","",""
"","8960","@Web Client App Login","SafariBrowser","2026-01-02","passed","2026-01-02","","ClientAppPO.spec.js","",""
"","8660","@API Place the Order","","2026-01-21","passed","2026-01-21","","WebAIPIpart1.spec.js","",""
